content_id,title,reason,text_chars
7682293131710300706,从0到1搭建副业系统的五个关键步骤,synthetic_id_or_duplicate_or_short_text,44
7682446926645559860,不拖船才是最狠一招：中国宣布大动作菲律宾或成下一个立陶宛,synthetic_id_or_duplicate_or_short_text,52
7682745433508069888,定价逻辑：为什么你的产品卖不上价,synthetic_id_or_duplicate_or_short_text,42
7682800000000000001,AI接单实战：从入门到变现的完整路径,synthetic_id_or_duplicate_or_short_text,43
7682900000000000002,市场验证：如何低成本测试商业模式,synthetic_id_or_duplicate_or_short_text,44
7683000000000000003,信息差赚钱：普通人的套利机会,synthetic_id_or_duplicate_or_short_text,44
7683110588213363240,源氏木语：用户痛点驱动的品牌信任迁移,synthetic_id_or_duplicate_or_short_text,48
7683200000000000004,消费认知升级：中产如何理性消费,synthetic_id_or_duplicate_or_short_text,38
7683300000000000005,创业失败后的复盘：如何避免重复踩坑,synthetic_id_or_duplicate_or_short_text,57
7683400000000000006,供应链管理：从成本中心到价值中心,synthetic_id_or_duplicate_or_short_text,58
7683600000000000007,渠道增长：从0到1的冷启动策略,synthetic_id_or_duplicate_or_short_text,50
7683700000000000008,财富认知：普通人理财的五个误区,synthetic_id_or_duplicate_or_short_text,64
7683800000000000009,AI商业应用：从概念到落地的完整路径,synthetic_id_or_duplicate_or_short_text,56
7671488207304868404,做自媒体最通透的几条真相,synthetic_id_or_duplicate_or_short_text,142
7683168637653598759,为什么普通人很难实现阶层跨越,synthetic_id_or_duplicate_or_short_text,131
7684223864338924073,比老铺更爱马仕，这家兰州黄金店凭什么让客户等货一年,synthetic_id_or_duplicate_or_short_text,137
7680513034233676323,李善友：DeepSeek的每一次取舍都在增加AGI实现的概率,synthetic_id_or_duplicate_or_short_text,101
