content_id,title,text_chars,placeholder_detected,evidence_ready,logic_analyzable,sha256
7677915384284037651,一个冷门品牌成了直男的Lululemon,74,False,True,PENDING_MODEL_REVIEW,c0688bb19606b59b7a7f0060e5d9fae6683aa716364a3b653592a246c24d1b2f
7678657654369141289,867亿！黄仁勋收购Hugging Face拿下AI界GitHub,88,False,True,PENDING_MODEL_REVIEW,35b217842088f9c87ac83fa732813daad99b66f942d749751c0d8a397f9c1164
7683548929375339037,跑步与人生：别用别人的配速跑马拉松,50,False,True,PENDING_MODEL_REVIEW,726acf481e1cb36adcf95b490beef7e9d27250cc9370610ab8297174e4d1cb87
7684096740282171948,普通人如何建立个人品牌实现价值变现,45,False,True,PENDING_MODEL_REVIEW,3a023a96b5b1c0165735c24d1f5d326f8093552a0b9f0e0e1ca1bbc7f43d15b8
7684100593694032399,武汉大学买商品房当学生公寓,0,True,False,PENDING_MODEL_REVIEW,
7684447381258666559,中年男人适合做什么副业？5个方向值得参考,49,False,True,PENDING_MODEL_REVIEW,a9505aff14c33f3eda672a2f00433c99640b3b5ae2e6e5c5729f651e669205dc
7684457991839531556,52岁女演员卖韭菜盒子负债600万经历,128,False,False,,35c5c68948743432642d63c630a0a1a675ad8514a8bef1ad04205f0b83410c86
7684594958250836523,15名同事合买彩票中奖3000万港元纠纷,128,False,False,,65110a1a81235865346dacd8ea10bd7cf1482e9c83b5edf431527619e8f25b02
7684820046559969811,推动软件产业实现换道超车,122,False,False,PENDING_MODEL_REVIEW,3a7bde1d381271fde5ed07cc00c2532f16a76eaab67ff4257046f395c10d4e96
7684821300744962602,2026年服贸会探新：金融服务迈向精不精,130,False,False,PENDING_MODEL_REVIEW,301beaf563c94518dc0324e7f19952061129d909ab4632a991eb29af5c27803e
