discovered_at,discovery_mode,search_seed,source_search_url_or_parent_url,candidate_url,content_id,title,fetch_status
2026-08-25,QUERY_FIRST,商业模式,https://www.toutiao.com/article/7677915384284037651/,https://www.toutiao.com/article/7677915384284037651/,7677915384284037651,一个冷门品牌成了直男的Lululemon,FETCHED
2026-08-27,QUERY_FIRST,AI创业,https://www.toutiao.com/article/7678657654369141289/,https://www.toutiao.com/article/7678657654369141289/,7678657654369141289,867亿！黄仁勋收购Hugging Face拿下AI界GitHub,FETCHED
2026-09-09,QUERY_FIRST,普通人收入,https://www.toutiao.com/article/7683548929375339037/,https://www.toutiao.com/article/7683548929375339037/,7683548929375339037,跑步与人生：别用别人的配速跑马拉松,FETCHED
2026-09-10,QUERY_FIRST,能力变现,https://www.toutiao.com/article/7684096740282171948/,https://www.toutiao.com/article/7684096740282171948/,7684096740282171948,普通人如何建立个人品牌实现价值变现,FETCHED
,UNKNOWN,,,,7684100593694032399,武汉大学买商品房当学生公寓,FAILED
2026-09-11,QUERY_FIRST,普通人赚钱逻辑,https://www.toutiao.com/article/7684447381258666559/,https://www.toutiao.com/article/7684447381258666559/,7684447381258666559,中年男人适合做什么副业？5个方向值得参考,FETCHED
2026-09-12,QUERY_FIRST,赚钱,https://www.toutiao.com/article/7684457991839531556/,https://www.toutiao.com/article/7684457991839531556/,7684457991839531556,52岁女演员卖韭菜盒子负债600万经历,FETCHED
2026-09-12,QUERY_FIRST,赚钱,https://www.toutiao.com/article/7684594958250836523/,https://www.toutiao.com/article/7684594958250836523/,7684594958250836523,15名同事合买彩票中奖3000万港元纠纷,FETCHED
2026-09-13,QUERY_FIRST,AI商业,https://www.toutiao.com/article/7684820046559969811/,https://www.toutiao.com/article/7684820046559969811/,7684820046559969811,推动软件产业实现换道超车,FETCHED
2026-09-13,QUERY_FIRST,商业模式,https://www.toutiao.com/article/7684821300744962602/,https://www.toutiao.com/article/7684821300744962602/,7684821300744962602,2026年服贸会探新：金融服务迈向精不精,FETCHED
